	kernel1	kernel2	kernel3	kernel4	kernel5	kernel6	kernel7	stride1	stride2	stride3	stride4	stride5	stride6	stride7	cross-validation-avg-r2
348	34	28	40	32	2	6	4	3	3	2	5	2	8	8	0.5145490325787629
349	34	24	18	12	38	18	12	5	2	2	2	5	6	7	0.5073887734764271
350	32	36	28	26	26	26	32	2	2	2	3	8	8	6	0.5257771590810716
351	16	34	16	38	40	10	4	3	3	4	4	7	6	5	0.49893157143639655
352	28	40	20	16	14	6	28	2	3	3	7	7	7	3	0.5151012889792201
353	40	30	12	24	4	40	4	2	3	3	6	3	8	5	0.49683430643280185
354	8	22	32	6	12	30	26	3	3	2	6	2	5	2	0.495601894314524
355	38	22	6	38	24	26	30	2	2	5	7	7	2	6	0.4760236385141452
356	38	24	8	2	12	30	30	2	3	3	7	6	3	6	0.4925101166538916
357	38	32	4	32	34	24	38	3	3	2	6	4	7	4	0.48393883073670896
358	10	34	30	18	4	24	28	4	3	4	7	2	8	8	0.457302576774088
359	32	30	14	36	38	10	14	3	3	2	3	5	7	5	0.5144306954275466
360	22	20	14	2	16	4	30	3	2	5	4	8	7	2	0.5219900425412995
361	28	18	10	12	6	10	6	2	2	5	7	6	7	3	0.524769284440826
362	16	6	28	16	26	36	40	2	2	3	4	4	5	7	0.4725021199563391
363	22	8	18	20	10	38	14	3	2	4	5	2	2	8	0.4847852285570088
364	4	28	32	6	28	26	24	3	3	4	8	4	4	5	0.47026557196600927
365	18	24	28	38	14	18	22	3	3	2	5	6	6	8	0.49895805908005286
366	32	16	12	10	22	14	26	5	3	2	6	8	5	6	0.4850373610013214
367	36	36	20	14	18	28	22	3	2	2	3	5	7	4	0.5240944822350398
368	30	26	38	26	22	32	10	4	3	3	7	6	4	5	0.47317439776496806
369	20	28	14	32	12	40	6	2	2	2	4	2	6	3	0.5252683009103983
370	10	24	4	4	32	26	22	3	2	2	6	2	5	5	0.5204627914944358
371	32	14	12	18	18	34	10	4	2	3	3	3	4	4	0.5112067803271455
372	38	26	30	26	36	36	24	3	2	2	4	8	7	2	0.5294114862294593
373	28	14	24	18	32	34	26	3	3	2	4	7	2	5	0.5034274934403556
374	36	30	12	22	20	38	10	5	3	2	8	7	7	5	0.4800802295012401
375	40	30	4	8	14	30	30	3	2	3	7	4	5	2	0.5073338089251176
376	34	36	16	26	20	36	36	2	2	4	4	5	7	4	0.49033122633131104
377	4	14	26	30	30	30	4	3	2	2	6	2	5	6	0.49198865030058264
378	22	32	28	24	2	4	16	3	3	3	2	7	4	5	0.48579668978936347
379	20	36	22	14	10	2	34	2	2	3	2	5	7	3	0.5244879749934176
380	16	32	18	20	4	38	18	3	2	2	7	6	3	8	0.5201120345144746
381	24	14	8	6	18	6	38	3	2	2	4	2	5	6	0.5256839821181852
382	24	32	30	36	8	12	10	2	3	2	2	7	2	4	0.5145698603283034
383	22	36	8	2	30	30	40	3	2	3	8	4	3	8	0.5227797471780746
384	36	34	18	26	12	4	32	3	3	4	2	7	7	5	0.5072652510352076
385	34	4	26	2	6	10	24	3	6	3	2	4	2	2	0.4597202888732196
386	28	38	6	26	22	26	34	3	3	3	4	5	5	5	0.5063847748383236
387	20	12	26	28	28	26	2	3	3	3	5	4	5	3	0.5024781231050016
388	30	30	22	20	34	30	36	2	2	2	7	7	4	5	0.5286332030265937
389	36	24	10	32	34	26	28	2	4	2	5	2	5	4	0.5006557161704992
390	40	26	22	16	22	28	28	2	3	3	7	7	6	5	0.5137296112961705
391	22	10	36	24	38	18	36	4	2	2	6	5	8	8	0.5193661645032618
392	4	28	10	6	24	22	34	3	3	4	5	6	4	4	0.43152043863729417
393	26	28	24	24	20	14	2	3	3	2	3	7	7	4	0.5171427832384783
394	26	30	36	30	34	14	24	2	2	3	4	2	2	2	0.4792379724058511
395	34	22	34	16	16	38	12	3	3	3	7	5	2	7	0.5049724190586004
396	8	32	36	28	26	38	4	2	2	3	2	3	2	3	0.508182281036533
397	26	32	14	10	16	16	2	2	3	2	3	7	5	7	0.5128127654810019
398	34	36	28	32	2	10	34	5	2	2	7	5	8	5	0.5043701588531107
399	40	22	40	8	8	22	36	2	2	5	3	4	4	3	0.524836889494216
400	14	4	36	40	28	26	28	2	3	4	4	6	3	3	0.4970415407360837
401	32	20	10	38	38	8	28	3	3	2	2	6	5	6	0.5127985285271975
402	6	36	28	28	12	4	40	7	2	3	6	4	3	8	0.47816493609910776
403	30	2	20	16	12	34	18	2	3	3	4	7	7	7	0.5125415908882799
404	8	30	38	8	26	32	26	3	2	4	6	5	8	4	0.5162747752731016
405	22	30	10	38	6	16	34	2	2	3	8	5	5	2	0.525100262359267
406	4	28	4	8	38	40	4	2	2	4	8	5	6	5	0.5220846114133262
407	8	26	10	18	20	34	26	2	4	3	5	6	3	5	0.4916122246646471
408	22	34	32	10	40	24	20	2	2	2	5	2	5	7	0.48476264996446095
409	6	34	28	36	34	20	38	2	4	3	2	8	3	4	0.4942274735026305
410	28	38	26	12	30	30	30	3	3	3	4	3	5	5	0.4855744199848258
411	12	2	24	12	30	4	12	4	3	3	2	7	2	3	0.475435821993602
412	24	24	16	36	8	36	12	3	2	3	5	7	3	6	0.5229640566351837
413	20	28	38	4	6	34	16	4	2	3	3	4	8	2	0.510027496530435
414	16	6	4	32	12	14	8	2	3	2	6	5	5	2	0.5011321887256375
415	14	28	14	24	28	38	38	4	2	2	4	2	5	5	0.50622003899085
416	20	4	20	4	2	8	24	2	2	2	6	3	7	2	0.5259707688409785
417	6	40	26	32	14	34	38	4	3	3	3	4	5	4	0.4890386020681599
418	32	28	8	2	32	4	24	2	2	6	6	4	2	2	0.5259797849640853
419	36	12	4	20	38	6	18	2	3	2	4	3	6	5	0.5171113959149022
420	24	12	40	8	12	38	40	6	2	4	2	6	6	3	0.47047486804159266
421	38	16	38	40	10	14	24	3	2	2	3	7	6	4	0.5295776224627261
422	22	28	34	30	16	32	30	2	2	3	8	5	6	5	0.5069725517904065
423	16	38	14	20	2	12	34	2	2	4	7	4	5	6	0.48761184294476184
424	28	38	16	32	12	14	6	2	4	4	6	8	4	2	0.499631728021771
425	22	24	34	14	8	12	6	2	3	2	4	7	7	5	0.5124824191034624
426	10	34	24	30	38	32	24	2	3	2	8	7	5	2	0.5052347416756474
427	34	28	38	24	18	8	40	3	3	2	2	3	4	8	0.5148510176159682
428	36	34	40	18	24	14	38	5	2	2	7	4	3	7	0.5052323245127192
429	2	18	34	36	34	12	16	2	2	4	7	2	4	4	0.5224642242505886
430	20	34	6	12	12	6	38	3	2	2	5	8	3	2	0.5255932144236415
431	14	32	16	34	12	2	8	2	2	3	3	7	8	6	0.5216865861288841
432	38	6	18	4	8	6	8	2	3	2	6	3	5	4	0.5173716148787819
433	38	10	26	36	14	34	4	4	2	2	6	3	8	4	0.5189622236716751
434	20	6	20	20	24	18	14	4	2	2	6	5	6	7	0.5070551328651594
435	32	18	6	14	38	12	22	2	2	3	7	4	2	6	0.5042178054541417
436	12	36	16	8	26	38	28	3	2	3	5	6	4	5	0.5007368369255203
437	30	22	18	22	20	6	6	3	3	3	4	8	2	5	0.5070330337316321
438	30	24	30	32	26	36	12	5	2	5	6	2	6	2	0.5037847064142853
439	38	14	22	22	36	28	32	7	4	4	4	4	6	5	0.40386205256456914
440	28	12	38	10	6	28	30	3	3	4	5	3	4	3	0.430505499837316
441	34	26	36	28	22	18	36	4	2	2	2	7	3	8	0.5123913051895493
442	22	36	18	14	6	40	18	3	3	2	5	5	5	7	0.5053715515063905
443	14	24	32	40	6	38	24	2	2	2	5	7	6	2	0.5265292237033284
444	6	26	22	12	8	32	36	3	2	2	8	4	7	4	0.5188953423116427
445	32	28	12	36	38	36	34	3	4	3	6	7	7	8	0.4636791468266448
446	4	30	6	40	6	14	34	3	2	4	3	4	6	3	0.4704298080853657
447	8	20	22	10	34	34	14	2	2	2	5	5	2	4	0.4851573406181664
448	14	32	34	28	40	22	24	2	2	2	3	6	6	8	0.5106501643081853
449	32	14	20	20	20	12	34	3	3	2	6	6	6	6	0.5131677550148842
450	40	16	24	20	36	8	24	2	2	4	4	3	5	3	0.5240302649288382
451	38	6	34	40	20	16	36	3	4	2	8	5	5	3	0.4873289168080219
452	2	40	14	8	6	24	8	3	3	2	4	5	6	6	0.509421298059193
453	26	10	8	16	36	28	10	4	3	4	5	5	4	3	0.48872613277349664
454	24	30	8	12	28	18	38	4	2	2	3	6	8	6	0.5103500591836753
455	36	20	26	2	40	38	18	2	2	4	3	6	4	2	0.5252880767628437
456	20	30	20	36	36	2	6	3	4	4	2	6	4	5	0.48444625896219
457	34	24	6	14	14	38	36	4	3	7	4	7	4	8	0.39315214894589834
458	10	38	10	6	34	34	28	3	4	4	2	6	7	6	0.4507656802304924
459	22	26	34	2	28	34	28	4	3	4	5	7	6	4	0.4289666795400204
460	18	18	18	30	12	18	38	3	3	3	4	7	3	3	0.4997910429775884
461	34	20	34	24	34	30	30	2	3	2	6	6	5	5	0.5217719695309271
462	28	34	10	20	6	20	36	3	2	2	8	5	8	2	0.5241558194191289
463	12	34	2	16	20	30	32	2	3	3	5	6	4	3	0.5073632016649937
464	34	22	22	16	24	26	16	3	3	2	7	8	5	7	0.5049724190586004
465	16	34	20	24	24	20	22	2	2	3	3	5	7	5	0.5033847634545325
466	36	40	26	18	14	18	4	2	4	3	5	3	8	8	0.4799524868094713
467	28	6	4	8	6	36	30	3	3	4	6	2	8	5	0.4667468321309192
468	38	32	8	8	34	32	20	3	2	3	3	6	3	6	0.4977463808115333
469	32	30	28	20	14	34	32	4	3	3	5	4	4	3	0.4464131478888903
470	40	32	20	32	28	14	10	2	2	4	6	8	3	3	0.5249976487147139
471	20	14	18	14	36	38	26	3	2	2	4	6	7	7	0.5214599225013411
472	36	30	6	10	24	8	24	4	3	2	3	4	5	3	0.49919754744437506
473	6	22	12	22	12	38	12	2	2	5	5	4	3	3	0.5206316216613691
474	24	32	16	4	22	32	16	3	3	2	8	5	7	5	0.5060483961379414
475	22	30	16	20	10	18	16	3	2	2	5	3	6	3	
476	36	16	32	20	10	16	32	2	2	4	6	6	7	2	0.5247996495318409
477	28	38	10	2	16	38	32	2	3	2	4	2	4	2	0.5132355544766446
478	22	32	6	28	4	16	6	3	4	2	4	8	7	7	0.4866067194178846
479	38	6	18	22	24	12	8	2	2	4	6	3	6	8	0.4356814449087978
480	24	36	36	2	34	28	4	5	3	2	6	6	6	4	0.4846255521781737
481	38	30	24	6	6	32	32	4	2	2	3	6	5	4	0.5126900400809675
482	10	36	4	2	4	18	20	3	2	2	3	5	7	4	0.5191206268033639
483	20	36	12	32	38	34	22	3	3	3	5	7	3	7	0.5038411961363867
484	8	22	18	10	18	2	4	4	2	2	5	8	6	2	0.5161289493914781
485	32	12	36	18	12	20	32	2	2	3	4	8	4	5	0.4454731809485324
486	32	38	32	12	6	32	24	3	2	2	3	7	6	4	0.5251796019479337
487	8	20	14	4	8	38	40	4	2	4	6	3	2	2	0.5051792033343909
488	30	28	18	36	6	32	2	2	2	2	4	3	7	6	0.5257350861008705
489	26	32	2	28	16	38	30	3	2	2	5	6	6	8	0.524141983941091
490	34	34	14	10	40	20	24	3	2	4	5	3	6	6	0.523277499693358
491	28	20	30	40	26	30	20	2	2	5	2	8	3	5	0.4804963508919802
492	30	4	36	30	28	6	32	2	2	2	7	5	5	6	0.5299188529795695
493	4	24	20	36	38	34	38	3	3	2	5	5	7	6	0.5112727122783549
494	38	16	22	24	34	18	8	2	2	3	4	5	4	6	0.4836276960288809
495	12	12	18	14	14	2	14	2	2	2	2	6	5	6	0.52286472551926
496	16	40	12	38	22	18	38	2	2	4	2	4	2	4	0.5227139906135289
497	30	32	14	22	32	6	18	3	2	3	5	7	2	4	0.524874763198057
498	26	20	14	24	16	32	20	3	2	4	4	5	5	4	0.5242952374955864
499	20	26	2	36	34	40	20	2	3	5	2	6	4	5	0.5116291359586383
500	6	38	6	8	6	24	12	3	2	2	4	6	6	5	0.5212956404479857
501	14	2	8	30	12	38	14	2	2	2	6	5	7	7	0.5161486009277924
502	36	32	18	36	2	20	38	3	2	2	7	5	5	8	0.5290366537148155
503	4	26	10	12	28	32	22	2	3	2	2	5	7	4	0.5098436719697953
504	18	30	10	22	10	30	10	5	2	2	5	4	5	5	0.49950074939625566
505	12	10	10	12	4	36	36	2	3	2	6	4	7	7	0.49738307999806886
506	38	6	26	14	10	2	10	4	2	5	7	8	3	2	0.4695616787932189
507	36	18	38	26	12	24	40	2	3	3	6	4	3	5	0.5133704884199685
508	6	40	16	8	12	38	14	5	2	3	4	3	3	6	0.49921106629943
509	30	22	14	14	40	18	8	3	2	2	7	4	3	2	0.5241412027769841
510	28	28	38	6	14	20	12	2	2	2	3	8	5	5	0.5260085335994611
511	38	16	22	30	10	8	8	2	4	2	8	7	4	7	0.507701548924677
512	34	14	20	30	4	10	34	2	3	2	3	4	7	3	0.5134583442187833
513	38	26	24	14	18	24	14	2	3	3	3	5	5	5	0.5127124506679694
514	24	8	30	2	26	36	38	2	5	3	4	7	7	6	0.4609332761276236
515	26	16	12	10	28	36	40	2	2	2	3	6	7	5	0.5269091652584698
516	30	24	14	18	30	22	32	2	2	2	5	6	4	5	0.5273717836406296
517	26	12	18	34	34	4	10	2	4	2	3	6	8	4	0.4974159012932037
518	20	36	32	32	36	24	6	3	2	3	4	6	5	3	0.5033719579315359
519	10	4	14	28	36	34	38	3	2	2	8	7	2	5	0.49956100150459865
520	30	10	34	22	22	26	10	3	2	2	8	2	3	7	0.5290635013966035
521	36	22	6	10	12	16	24	2	2	2	7	3	5	6	0.5274125133252623
522	8	4	4	32	22	14	16	3	2	2	3	6	6	8	0.5039288687816242
523	2	32	30	40	24	18	16	4	2	3	4	4	6	7	0.5189571653873064
524	36	6	22	40	32	32	4	3	4	2	5	8	7	6	0.47517654879521776
525	14	26	40	4	24	36	28	2	2	4	7	8	7	4	0.5224455913075734
526	28	16	32	10	6	40	22	3	2	5	5	3	3	3	0.523346940785664
527	32	12	24	36	36	26	24	3	2	2	4	7	3	8	0.5071195714784883
528	12	28	26	18	32	18	12	3	2	2	8	4	7	7	0.5159174284162663
529	34	12	38	12	26	40	20	3	2	3	3	5	4	2	0.5225588207846854
530	30	34	12	10	12	36	28	2	2	2	2	8	3	3	0.526204201308578
531	40	2	30	20	18	40	14	3	3	3	5	7	6	4	0.487811971149307
532	32	16	24	22	12	40	40	2	3	2	6	3	4	7	0.5123847105377289
533	36	8	14	14	2	4	40	3	2	4	7	2	7	3	0.521681228284356
534	8	14	30	10	30	36	36	2	2	2	4	5	3	6	0.5263936682656091
535	22	6	34	40	26	30	14	2	3	3	4	3	4	3	0.508439855835691
536	40	36	22	30	26	14	14	3	2	3	2	4	4	5	0.5022459003371957
537	10	30	14	32	36	24	32	2	3	2	4	4	5	8	0.4913495452216448
538	36	34	36	34	16	14	20	3	3	3	5	5	5	3	0.4879522843792139
539	40	14	32	8	18	10	24	2	3	2	3	7	2	2	0.5205561240614949
540	36	38	18	22	16	2	6	2	3	4	4	7	5	6	0.513463860693215
541	40	20	18	22	10	22	26	3	2	3	2	6	4	6	0.5229091574015565
542	14	32	34	4	38	24	8	5	2	3	3	4	3	4	0.48592945809092986
543	24	34	18	28	24	34	38	3	2	2	3	2	3	7	0.5287065072360524
544	38	36	10	38	40	32	32	2	2	2	2	7	7	7	0.5259179982725994
545	38	18	22	2	32	10	38	5	2	2	6	7	3	6	0.5038684087228814
546	38	12	34	40	32	36	4	3	2	3	3	5	2	2	0.5056532672618858
547	38	38	38	30	12	18	36	5	2	2	5	3	8	6	0.5067441331434104
548	12	28	4	36	18	36	38	2	2	2	5	2	5	5	0.5213850876776035
549	38	20	2	16	8	4	10	3	3	2	8	8	7	8	0.5109168686297204
550	34	28	12	32	16	20	14	2	3	2	2	2	6	3	0.5191231683017814
551	32	8	34	20	38	28	28	2	3	4	3	4	7	4	0.5114768880855493
552	28	22	40	12	26	40	10	4	2	2	5	4	7	3	0.490100591373859
553	32	16	6	26	26	2	16	2	3	2	2	4	6	8	0.5123919867985857
554	36	40	34	30	40	38	4	2	3	3	3	6	6	6	0.496667701957727
555	38	18	4	32	32	34	18	3	4	2	2	5	5	4	0.4902739962467805
556	30	28	10	32	4	16	28	3	2	3	2	7	4	6	0.5027981153281473
557	22	28	12	16	22	38	14	2	3	2	2	2	3	2	0.5191945295434762
558	26	10	38	8	14	32	28	4	2	2	5	8	4	3	0.5185912761912294
559	12	36	14	36	4	24	28	2	3	4	6	6	6	3	0.5063646483987492
560	24	14	18	24	10	22	36	4	2	3	2	6	8	6	0.4904470603948928
561	38	4	26	8	10	30	32	2	2	2	4	3	4	5	0.5271516508620555
562	22	22	10	36	18	2	38	2	2	2	3	7	5	4	0.5268646125433881
563	20	4	10	32	2	8	38	2	3	2	3	3	4	4	0.5143687416807006
564	40	2	16	16	24	36	36	2	3	3	7	8	3	3	0.4932658375823709
565	22	22	14	40	30	32	14	2	2	2	6	7	2	3	0.5255079002500114
566	28	36	14	12	36	18	10	3	2	2	3	6	5	6	0.5292873345118777
567	8	30	38	2	14	10	16	2	2	2	5	3	3	4	0.5195006131964183
568	40	26	38	18	16	36	16	4	3	4	3	7	7	2	0.49358549272869606
569	2	10	16	16	24	38	16	3	2	3	8	2	5	3	0.5223530941035388
570	4	36	30	12	4	38	12	4	4	2	4	7	4	2	0.4639680646007078
571	4	26	4	6	26	30	8	2	2	3	6	4	6	3	0.5039087927516472
572	24	10	6	4	18	32	38	2	2	3	5	6	5	5	0.49942281982881265
573	12	22	38	22	20	38	30	2	3	2	4	4	2	5	0.5066762002953797
574	8	34	8	36	18	28	2	3	4	2	7	4	8	4	0.49022174768901766
575	16	8	32	16	6	26	26	3	2	2	5	2	6	8	0.525667474720013
576	32	32	16	10	36	14	4	2	2	2	4	4	4	2	0.4855885913412521
577	30	18	38	34	34	4	30	2	2	2	3	4	8	8	0.5296676683539315
578	8	4	18	20	34	18	12	3	2	3	3	3	3	6	0.4927157589861831
579	38	16	40	12	14	22	30	2	3	2	8	4	3	6	0.5213922744411493
580	22	22	30	8	16	38	24	2	2	3	7	7	5	4	0.5072271225299332
581	12	40	34	14	12	2	30	4	2	3	7	3	7	2	0.49692065388066287
582	6	30	2	38	38	34	32	3	3	2	4	5	3	3	0.5056453686766651
583	26	38	10	28	14	4	22	2	2	3	6	5	7	3	0.5057258804417932
584	24	12	26	8	18	28	24	4	3	2	7	6	7	2	0.4872672199687475
585	36	26	12	22	36	28	14	2	2	2	7	5	4	3	0.5257494757868525
586	26	18	30	36	4	38	22	2	3	2	5	5	4	7	0.5135719411170546
587	12	2	30	24	8	4	20	3	3	2	4	4	4	5	0.5034164432386631
588	18	38	22	36	22	18	24	3	3	2	4	7	2	4	0.501049931382941
589	32	32	34	2	28	32	34	4	2	2	5	7	7	5	0.5200559811272623
590	40	10	12	32	2	4	10	3	3	2	3	5	4	5	0.5107285858825956
591	36	34	38	22	24	28	2	3	3	4	7	6	7	3	0.47418157669635985
592	32	34	30	22	8	36	12	3	2	3	7	7	3	3	0.5250429327484376
593	30	8	30	28	4	22	8	2	3	3	3	6	4	5	0.5116763895198675
594	30	36	34	34	32	24	28	2	3	2	6	5	2	3	0.5229882073289137
595	20	36	24	32	16	38	28	3	3	4	8	7	3	3	0.5038411961363867
596	8	36	20	26	34	34	24	2	3	3	6	3	3	5	0.5069125735341505
597	28	30	36	30	6	30	6	5	3	2	7	7	4	7	0.4785499727572615
598	24	22	2	34	34	12	28	2	2	2	3	4	3	2	0.5246483792129679
599	34	24	22	14	4	28	24	4	2	2	8	7	7	4	0.4685667639382271
600	26	34	24	20	4	18	20	3	4	2	3	6	5	3	0.48929785584702934
601	38	8	28	34	30	26	34	3	2	4	7	5	4	8	0.4884899682514284
602	4	4	18	30	2	38	6	2	3	4	6	8	4	8	0.4694338439769875
603	16	38	4	8	18	28	24	2	3	3	7	8	4	4	0.5087135185122451
604	40	22	22	32	14	40	2	3	3	2	3	8	5	5	0.514681474670736
605	40	36	14	10	6	20	34	2	2	3	4	6	4	3	0.5255564721344229
606	6	34	32	22	12	10	30	5	2	3	4	3	3	3	0.4956372752667211
607	36	32	6	30	6	40	6	2	2	2	7	5	5	5	0.5268274101516561
608	22	22	34	18	40	14	6	3	2	3	2	3	7	2	0.5223236173674388
609	36	30	10	38	26	6	12	2	2	2	6	8	3	4	0.5280272213335453
610	8	32	24	6	6	22	32	3	2	2	7	3	4	3	0.5243867030147498
611	28	38	2	32	12	22	28	2	2	3	6	4	5	3	0.5119615141842955
612	20	4	6	32	12	22	22	2	3	3	8	8	6	2	0.5081200891882109
613	32	10	6	38	6	14	40	5	2	3	3	5	7	6	0.4826227927502889
614	30	22	30	22	36	36	22	4	2	2	6	8	4	3	0.5194196217540414
615	36	24	8	24	6	12	38	3	2	3	2	7	7	4	0.5019760625061416
616	26	30	12	20	2	38	36	2	3	2	6	3	3	6	0.478168209047445
617	14	18	18	14	12	28	24	4	3	3	2	7	3	5	0.4816792255332807
618	24	32	20	40	18	40	8	3	2	3	2	3	2	7	0.4999962008062409
619	6	18	30	36	14	16	40	2	2	2	8	8	6	6	0.5209174589846871
620	12	38	24	18	8	32	38	2	3	3	6	2	5	5	0.5084766859385054
621	32	16	10	18	32	14	18	2	2	2	4	4	6	5	0.5019021623583003
622	34	2	26	24	14	2	34	3	4	3	8	2	6	5	0.4704678532497467
623	4	38	6	30	2	18	18	3	2	2	4	6	4	3	0.5244780340478701
624	36	26	28	36	4	14	24	3	2	2	3	4	7	7	0.5299606636049903
625	20	32	20	30	6	18	28	3	2	2	8	7	5	7	0.5219817474468942
626	30	4	6	30	10	26	4	4	2	2	4	7	5	5	0.5099027399511942
627	28	26	32	14	12	36	26	3	3	2	4	3	4	4	0.5145053093863938
628	14	32	38	16	12	22	12	3	3	3	2	2	7	5	0.4879218095076336
629	34	26	10	36	38	34	2	2	3	2	5	7	6	7	0.5207386682474514
630	38	16	4	38	10	34	40	4	3	4	5	6	4	3	0.4922933043179534
631	36	22	10	4	32	38	22	3	2	3	3	8	8	6	0.5005955394378544
632	6	8	24	28	28	34	22	2	4	2	3	8	2	7	0.49911865387495374
633	8	10	8	22	10	18	26	2	2	2	7	4	8	4	0.5121592197837653
634	8	38	24	18	30	20	12	3	2	2	6	8	4	7	0.5179041470052437
635	22	38	32	2	20	36	20	3	3	3	7	4	6	6	0.5057816146075583
636	40	28	28	12	40	8	22	2	2	2	5	6	5	2	0.485205761760682
637	34	12	12	28	6	6	28	3	2	2	5	8	6	3	0.5273519584299559
638	2	18	28	24	26	16	6	2	2	2	6	3	4	6	0.5224642242505886
639	38	2	38	32	24	6	4	2	2	2	4	7	8	7	0.4713939127318196
640	6	10	6	18	18	2	18	2	2	2	8	8	8	6	0.46173836404206103
641	10	6	18	16	6	4	24	2	3	3	7	3	5	3	0.4309009270758109
642	20	38	36	2	32	10	34	7	2	2	6	7	4	2	0.4883085798014302
643	38	12	20	22	22	36	26	3	3	2	3	7	2	3	0.5117711585529019
644	40	18	16	38	30	22	2	3	4	2	5	7	4	4	0.48948521436595144
645	38	22	8	18	14	4	10	5	3	3	7	4	6	2	0.4817775648444551
646	26	8	38	2	6	10	38	2	3	4	6	3	3	2	0.4759434512544023
647	38	8	10	40	30	18	10	6	3	2	5	5	8	5	0.4674252980739124
648	34	18	16	18	34	8	16	4	3	2	2	4	5	4	0.4960308661076668
649	28	4	2	24	10	2	10	2	4	2	4	3	4	2	0.5010976510007232
650	16	24	18	4	20	34	4	4	2	3	5	3	4	4	0.4904339353968138
651	34	16	12	18	32	26	6	3	2	2	6	7	7	2	0.4908672315400757
652	22	26	26	38	28	22	8	2	3	2	5	6	4	8	0.513763190241697
653	36	40	16	30	24	10	14	3	3	3	6	4	4	2	0.5082061529652241
654	30	36	14	18	6	32	26	4	2	2	2	7	6	2	0.5179342204275997
655	32	18	38	30	38	26	6	2	3	2	4	7	3	4	0.4983567648140707
656	4	28	32	30	4	32	18	3	2	3	6	2	2	6	0.5196722845109034
657	28	8	8	2	30	8	2	4	2	3	4	4	5	3	0.5093478976977861
658	4	34	12	36	6	36	22	2	3	2	6	7	4	3	0.5100046294866187
659	36	22	24	38	6	40	20	3	3	2	8	6	6	5	0.5142890488974526
660	6	18	20	14	4	10	28	3	3	3	4	3	7	7	0.4981177849218989
661	12	18	26	32	8	20	8	2	3	2	7	5	5	3	0.4710126046637243
662	14	24	18	8	22	34	24	2	2	2	7	4	5	5	0.5253790105727265
663	22	30	20	24	10	2	12	2	3	3	5	6	5	2	0.5136311437963959
664	2	28	18	6	32	18	8	2	2	3	6	6	6	4	0.5216862927033484
665	32	18	14	38	8	14	14	2	2	2	2	6	7	6	0.5339671709278915
666	4	20	36	34	16	10	12	2	3	3	6	7	7	7	0.4962013149361985
667	12	6	6	4	10	38	38	2	2	3	3	5	3	5	0.484802655297935
668	38	32	20	28	22	40	10	2	2	3	6	6	7	2	0.5255666059089922
669	36	8	30	26	16	4	18	2	2	3	5	7	6	4	0.5248223314370418
670	12	12	36	18	6	14	38	3	2	3	7	5	4	4	0.5138894519411309
671	18	16	4	4	8	14	6	3	2	3	3	2	5	2	0.4912457583745474
672	4	16	6	6	8	16	12	2	3	3	5	7	4	3	0.5104512476028062
673	28	18	12	10	6	24	6	2	2	3	6	6	6	4	0.5058890395341997
674	12	16	24	38	6	20	20	2	2	3	4	5	7	7	0.5204579189199884
675	14	32	30	28	10	12	22	3	2	3	6	4	3	3	0.5024073475229561
676	4	28	32	24	14	6	20	2	2	3	7	4	3	4	0.5068484715736616
677	40	12	8	4	18	20	12	2	2	2	7	7	4	3	0.5252508585400859
678	8	12	2	8	30	24	22	3	3	3	3	6	2	3	0.4932157416750005
679	22	16	10	30	6	28	10	4	2	2	3	2	6	4	0.5180351860079135
680	6	20	32	16	20	36	2	4	3	3	6	2	6	2	0.4840277134948843
681	12	4	12	40	8	32	10	2	3	3	5	7	5	3	0.49261272701120856
682	32	34	22	10	16	38	24	5	3	2	3	4	7	5	0.4875498339585452
683	14	12	20	24	40	30	28	3	2	2	6	7	3	2	0.48970726057939895
684	8	8	10	18	36	38	10	4	3	2	4	6	6	6	0.4754482150969003
685	2	14	30	6	40	32	12	2	3	3	5	5	6	2	0.4975185896422857
686	28	22	32	32	36	34	12	2	2	2	4	6	4	4	0.5285213186073412
687	26	24	10	2	8	12	10	2	2	2	4	3	8	5	0.5263033590451284
688	10	14	24	34	36	16	4	3	2	2	2	3	8	5	0.5152102721139299
689	22	18	8	30	2	24	24	2	2	2	4	5	3	3	0.5011431207961187
690	16	6	36	10	4	18	2	4	3	2	3	3	8	4	0.47394711850138826
691	18	26	22	4	6	36	22	3	3	2	3	5	8	6	0.5010259191843873
692	8	6	10	10	10	14	36	2	2	3	2	3	6	2	0.5048412072155631
693	24	18	26	10	4	38	36	3	2	3	5	7	8	5	0.5237868330705674
694	14	6	18	30	4	18	38	3	4	2	4	2	6	2	0.4819828557596257
695	8	36	34	24	6	36	6	2	2	2	5	5	8	5	0.527943839590837
696	22	34	24	2	8	34	14	2	3	2	4	6	6	4	0.5123191577713376
697	38	4	20	18	10	28	4	3	2	2	5	3	8	3	0.5258354810363797
698	4	26	28	8	24	18	12	3	3	3	3	7	6	4	0.4709289686672147
699	8	16	12	32	18	24	12	3	2	2	2	5	6	3	0.5138258662005514
700	22	32	34	40	4	38	18	3	2	3	4	8	5	5	0.5230434602313359
701	32	2	30	14	14	24	26	3	2	2	4	8	8	4	0.5053105033100631
702	10	16	8	30	14	30	24	2	2	3	6	3	7	7	0.4976382170496487
703	26	14	28	30	6	12	10	2	3	2	7	6	8	2	0.519406280860079
704	6	14	30	24	10	26	12	6	2	3	3	3	7	6	0.4842577117977354
705	12	10	10	22	38	32	22	2	2	2	3	6	8	8	0.48509511606951367
