	kernel1	kernel2	kernel3	kernel4	kernel5	kernel6	kernel7	stride1	stride2	stride3	stride4	stride5	stride6	stride7	cross-validation-avg-r2
80	10	20	32	18	6	24	2	6	2	3	4	8	2	7	0.4800437440351366
81	28	8	38	6	36	8	34	2	3	2	6	4	6	7	0.5195041190074913
82	18	28	28	22	34	22	12	2	2	2	4	3	5	6	0.5236546971630334
83	34	18	16	32	30	28	34	4	2	2	5	6	2	8	0.5134438065803069
84	36	24	20	16	24	4	22	4	3	2	7	4	4	3	0.4936333948918888
85	30	32	8	24	26	36	36	4	3	3	5	4	2	8	0.4653396633929171
86	30	26	38	30	2	24	8	2	2	3	7	7	5	6	0.5255532839441822
87	30	38	38	8	32	34	30	4	2	6	2	4	4	4	0.5149944167233513
88	14	28	26	24	30	12	38	2	2	2	8	6	4	6	0.5222265248457234
89	38	14	32	6	12	20	34	2	3	2	8	8	5	5	0.4630790805479624
90	34	4	18	28	28	38	12	3	2	4	2	2	6	6	0.5199970291273868
91	38	22	16	10	38	24	18	4	2	2	3	3	4	2	0.5127025288253312
92	36	18	6	16	34	28	40	2	3	3	3	3	3	7	0.4913691697693108
93	36	28	22	38	8	40	4	2	2	2	4	5	5	7	0.5285122416960802
94	16	28	2	6	30	24	6	3	2	3	5	3	3	6	0.5192771649333049
95	2	30	40	36	14	4	24	2	2	5	7	7	4	6	0.5220375463884076
96	34	26	28	8	34	40	8	3	2	8	4	5	3	6	0.4446653904768433
97	34	38	34	8	14	8	12	4	2	3	2	6	3	7	0.5139595260269861
98	4	12	36	18	2	28	22	3	2	4	5	8	7	5	0.5172929442090793
99	24	22	34	18	26	28	32	3	4	2	3	8	6	3	0.4872984997174974
100	38	18	8	34	14	36	16	4	2	3	5	4	7	4	0.5113413446639457
101	32	20	20	6	28	34	34	2	2	3	6	7	2	2	0.5249663779162513
102	10	4	34	22	16	34	10	2	2	2	3	5	4	4	0.5232064342304606
103	4	30	10	8	22	26	40	3	3	3	4	3	8	5	0.4582890495689893
104	26	18	2	38	8	28	30	2	3	3	2	5	6	3	0.4931407559466201
105	2	34	12	28	28	26	4	2	2	5	5	6	7	2	0.5222674079179622
106	30	40	4	6	24	4	24	3	3	3	4	3	3	4	0.464860064643785
107	18	20	28	12	8	12	34	3	2	3	7	2	3	8	0.5205110059505996
108	12	30	10	34	10	10	16	2	2	4	2	5	8	3	0.48885411174790744
109	4	18	32	18	12	8	40	6	3	7	6	4	4	4	0.39773330010053864
110	16	38	26	16	16	34	18	3	2	3	5	7	5	3	0.5207395468689158
111	12	12	28	34	18	4	24	3	4	2	4	7	4	3	0.4745702358165126
112	10	4	2	34	2	36	30	3	3	2	2	6	3	3	0.4934268644393456
113	34	18	6	34	30	10	18	3	3	3	2	7	4	3	0.4797141068629985
114	16	20	14	16	4	28	38	3	2	2	5	4	7	8	0.5192311826857098
115	16	18	14	24	2	2	2	2	2	2	7	3	4	7	0.47153415285030686
116	30	38	30	26	24	10	28	3	2	3	7	6	5	8	0.5040767227893692
117	34	16	6	12	32	10	20	3	2	4	4	5	2	5	0.5225592362026916
118	34	38	22	30	28	26	22	4	4	3	4	7	8	5	0.4484489587102574
119	38	40	10	6	12	20	4	3	3	4	3	7	6	3	0.4527247829570135
120	30	36	18	24	20	36	32	2	3	3	7	7	2	7	0.5149808164164469
121	18	20	40	32	12	36	28	3	4	7	6	6	3	3	0.3754102169777752
122	22	32	10	36	14	4	14	2	2	3	2	3	7	2	0.5255189118521282
123	22	34	6	32	20	12	22	6	4	5	7	6	2	5	0.39090878543321694
124	10	32	20	8	28	34	30	2	3	2	4	8	2	6	0.506672001706937
125	18	16	2	40	32	4	16	2	2	2	2	6	3	7	0.5225429299394372
126	36	10	28	38	40	6	24	2	3	3	7	5	5	5	0.4372293286362751
127	34	38	12	6	36	28	26	3	2	2	3	6	5	5	0.528190536429699
128	34	36	36	6	2	22	14	2	4	4	8	5	4	5	0.5000150001965884
129	36	34	38	20	30	38	2	3	2	6	6	7	5	4	0.5240802893931953
130	12	36	12	8	32	4	20	2	3	3	3	5	3	4	0.5061254041850186
131	32	20	14	28	4	4	26	3	2	5	2	6	4	5	0.5241965303071221
132	22	18	20	10	38	34	2	2	3	3	8	4	5	4	0.4886294474532861
133	32	12	40	28	12	24	32	3	2	3	3	8	5	6	0.5055622493265779
134	6	22	8	12	28	6	36	4	2	2	2	2	2	3	0.5041226861879924
135	18	28	16	24	14	14	16	3	7	5	7	3	3	7	0.3683888035803599
136	30	32	38	16	20	8	40	3	3	2	4	2	4	5	0.5141308759678611
137	40	28	12	34	16	26	32	3	3	3	6	4	5	6	0.5060534790453919
138	30	4	30	38	22	36	30	2	2	3	5	5	2	3	0.5241752957546768
139	32	34	20	20	6	18	28	3	3	2	8	7	3	5	0.5079720653062904
140	40	10	2	14	14	22	6	2	3	3	3	7	7	4	0.4938654308306871
141	26	30	36	22	40	22	18	2	3	2	2	5	5	4	0.5221543252846675
142	36	36	4	36	4	6	18	2	2	4	7	8	7	5	0.49258412001610896
143	4	36	38	8	2	8	30	2	2	2	6	4	4	7	0.5271813038524015
144	28	10	6	34	4	4	22	4	3	2	3	6	3	5	0.49333397660116873
145	4	36	10	34	38	26	18	6	2	2	3	5	6	5	0.49782610487242274
146	8	22	12	10	18	24	36	3	2	2	3	5	3	7	0.5221152402799915
147	30	18	2	38	12	22	22	3	2	4	5	4	7	7	0.5247213758787084
148	4	6	26	36	30	4	10	3	3	2	2	3	7	6	0.484293923079641
149	20	6	28	4	24	10	24	2	4	3	3	7	8	7	0.4913923994516281
150	30	10	36	10	20	20	32	2	3	2	6	8	4	7	0.5114929460807711
151	28	26	12	6	22	16	12	3	3	2	5	4	7	7	0.4839264516503719
152	26	24	2	12	12	32	4	2	3	2	5	6	2	6	0.514943560196419
153	22	36	4	12	36	8	2	2	2	3	3	5	4	6	0.5258868141839084
154	24	14	16	18	14	26	38	4	2	2	2	4	5	7	0.516057143585752
155	22	6	6	22	6	32	6	2	3	3	3	5	3	6	0.508439855835691
156	16	26	6	38	10	20	16	2	2	2	4	6	7	3	0.5227741801546423
157	16	16	32	4	30	34	14	3	2	3	4	4	4	7	0.5197533403797862
158	10	10	38	38	24	38	32	2	2	4	4	7	7	2	0.48710176131837407
159	34	38	6	18	16	28	20	2	3	3	8	4	3	4	0.5141881532307928
160	32	8	14	8	16	24	2	4	3	3	3	6	5	7	0.4651346911174296
161	36	20	38	20	26	12	12	3	2	6	3	5	8	7	0.4697184105024576
162	8	32	38	12	28	4	6	3	3	2	2	8	8	5	0.5104557028185768
